"id","state","estimated_population_2019","confirmed","date","deaths","update_source"
2230,"SP",45919049,1,"2020-02-26",0,"Secretaria Estadual de Saúde"
2231,"SP",45919049,1,"2020-02-27",0,"Secretaria Estadual de Saúde"
2232,"SP",45919049,2,"2020-02-28",0,"Secretaria Estadual de Saúde"
2233,"SP",45919049,2,"2020-02-29",0,"Secretaria Estadual de Saúde"
2234,"SP",45919049,2,"2020-03-01",0,"Secretaria Estadual de Saúde"
2235,"SP",45919049,2,"2020-03-02",0,"Secretaria Estadual de Saúde"
2236,"SP",45919049,2,"2020-03-03",0,"Secretaria Estadual de Saúde"
2237,"SP",45919049,3,"2020-03-04",0,"Secretaria Estadual de Saúde"
2238,"SP",45919049,6,"2020-03-05",0,"Secretaria Estadual de Saúde"
2239,"ES",4018650,1,"2020-03-05",0,"Secretaria Estadual de Saúde"
2240,"RJ",17264943,1,"2020-03-05",0,"Secretaria Estadual de Saúde"
2241,"SP",45919049,10,"2020-03-06",0,"Secretaria Estadual de Saúde"
2242,"BA",14873064,1,"2020-03-06",0,"Secretaria Estadual de Saúde"
2243,"ES",4018650,1,"2020-03-06",0,"Secretaria Estadual de Saúde"
2244,"RJ",17264943,2,"2020-03-06",0,"Secretaria Estadual de Saúde"
2245,"SP",45919049,13,"2020-03-07",0,"Secretaria Estadual de Saúde"
2246,"BA",14873064,2,"2020-03-07",0,"Secretaria Estadual de Saúde"
2247,"ES",4018650,1,"2020-03-07",0,"Secretaria Estadual de Saúde"
2248,"DF",3015268,1,"2020-03-07",0,"Secretaria Estadual de Saúde"
2249,"SP",45919049,16,"2020-03-08",0,"Secretaria Estadual de Saúde"
2250,"AL",3337357,1,"2020-03-08",0,"Secretaria Estadual de Saúde"
2251,"MG",21168791,1,"2020-03-08",0,"Secretaria Estadual de Saúde"
2252,"ES",4018650,1,"2020-03-08",0,"Secretaria Estadual de Saúde"
2253,"RJ",17264943,3,"2020-03-08",0,"Secretaria Estadual de Saúde"
2254,"DF",3015268,1,"2020-03-08",0,"Secretaria Estadual de Saúde"
2255,"SP",45919049,16,"2020-03-09",0,"Secretaria Estadual de Saúde"
2256,"AL",3337357,1,"2020-03-09",0,"Secretaria Estadual de Saúde"
2257,"BA",14873064,2,"2020-03-09",0,"Secretaria Estadual de Saúde"
2258,"MG",21168791,1,"2020-03-09",0,"Secretaria Estadual de Saúde"
2259,"ES",4018650,1,"2020-03-09",0,"Secretaria Estadual de Saúde"
2260,"DF",3015268,1,"2020-03-09",0,"Secretaria Estadual de Saúde"
2261,"SP",45919049,19,"2020-03-10",0,"Secretaria Estadual de Saúde"
2262,"AL",3337357,1,"2020-03-10",0,"Secretaria Estadual de Saúde"
2263,"BA",14873064,2,"2020-03-10",0,"Secretaria Estadual de Saúde"
2264,"MG",21168791,1,"2020-03-10",0,"Secretaria Estadual de Saúde"
2265,"ES",4018650,1,"2020-03-10",0,"Secretaria Estadual de Saúde"
2266,"RS",11377239,1,"2020-03-10",0,"Secretaria Estadual de Saúde"
2267,"DF",3015268,1,"2020-03-10",0,"Secretaria Estadual de Saúde"
2268,"SP",45919049,30,"2020-03-11",0,"Secretaria Estadual de Saúde"
2269,"BA",14873064,3,"2020-03-11",0,"Secretaria Estadual de Saúde"
2270,"MG",21168791,1,"2020-03-11",0,"Secretaria Estadual de Saúde"
2271,"ES",4018650,1,"2020-03-11",0,"Secretaria Estadual de Saúde"
2272,"RS",11377239,2,"2020-03-11",0,"Secretaria Estadual de Saúde"
2273,"DF",3015268,2,"2020-03-11",0,"Secretaria Estadual de Saúde"
2274,"SP",45919049,46,"2020-03-12",0,"Secretaria Estadual de Saúde"
2275,"RN",3506853,1,"2020-03-12",0,"Secretaria Estadual de Saúde"
2276,"PB",4018127,0,"2020-03-12",0,"Secretaria Estadual de Saúde"
2277,"PE",9557071,2,"2020-03-12",0,"Secretaria Estadual de Saúde"
2278,"AL",3337357,1,"2020-03-12",0,"Secretaria Estadual de Saúde"
2279,"BA",14873064,3,"2020-03-12",0,"Secretaria Estadual de Saúde"
2280,"MG",21168791,2,"2020-03-12",0,"Secretaria Estadual de Saúde"
2281,"ES",4018650,2,"2020-03-12",0,"Secretaria Estadual de Saúde"
2282,"RJ",17264943,15,"2020-03-12",0,"Secretaria Estadual de Saúde"
3968,"AC",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3969,"AM",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3970,"RR",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3971,"PA",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3972,"AP",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3973,"TO",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3974,"MA",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3975,"PI",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
