"id","state","city","city_ibge_code","confirmed","confirmed_per_100k_inhabitants","date","death_rate","deaths","estimated_population_2019","update_source"
9740,"RS","Água Santa","4300059",1,"26.6809","2020-05-23","0",0,3748,""
9741,"RS","Ajuricaba","4300208",2,"28.4738","2020-05-23","0",0,7024,""
9742,"RS","Alecrim","4300307",1,"16.80672","2020-05-23","0",0,5950,""
9743,"RS","Alegrete","4300406",6,"8.15339","2020-05-23","0",0,73589,""
9744,"RS","Alpestre","4300505",10,"159.79546","2020-05-23","0",0,6258,""
9745,"RS","Alvorada","4300604",31,"14.7405","2020-05-23","0.0645",2,210305,""
9746,"RS","Ametista do Sul","4300646",2,"26.9942","2020-05-23","0",0,7409,""
9747,"RS","Anta Gorda","4300703",4,"66.87845","2020-05-23","0",0,5981,""
9748,"RS","Antônio Prado","4300802",1,"7.66284","2020-05-23","0",0,13050,""
9749,"RS","Arroio do Meio","4301008",67,"322.03797","2020-05-23","0",0,20805,""
9750,"RS","Arroio do Sal","4301057",9,"89.41878","2020-05-23","0.1111",1,10065,""
9751,"RS","Arroio dos Ratos","4301107",6,"42.39983","2020-05-23","0.1667",1,14151,""
9752,"RS","Arvorezinha","4301404",1,"9.59325","2020-05-23","0",0,10424,""
9753,"RS","Áurea","4301552",1,"28.13731","2020-05-23","0",0,3554,""
9754,"RS","Bagé","4301602",35,"28.89148","2020-05-23","0",0,121143,""
9755,"RS","Barão de Cotegipe","4301701",6,"90.59339","2020-05-23","0",0,6623,""
9756,"RS","Barra do Ribeiro","4301909",1,"7.41235","2020-05-23","0",0,13491,""
9757,"RS","Barros Cassal","4302006",2,"17.85874","2020-05-23","0.5",1,11199,""
9758,"RS","Benjamin Constant do Sul","4302055",6,"300.90271","2020-05-23","0",0,1994,""
9759,"RS","Bento Gonçalves","4302105",427,"354.49217","2020-05-23","0.0164",7,120454,""
9760,"RS","Boa Vista das Missões","4302154",1,"47.66444","2020-05-23","0",0,2098,""
9761,"RS","Boa Vista do Sul","4302253",10,"359.32447","2020-05-23","0.1",1,2783,""
9762,"RS","Bom Jesus","4302303",23,"202.66103","2020-05-23","0",0,11349,""
9763,"RS","Bom Princípio","4302352",18,"128.0683","2020-05-23","0",0,14055,""
9764,"RS","Bom Progresso","4302378",3,"154.47992","2020-05-23","0",0,1942,""
9765,"RS","Bom Retiro do Sul","4302402",43,"348.79948","2020-05-23","0",0,12328,""
9766,"RS","Braga","4302600",2,"59.64808","2020-05-23","0",0,3353,""
9767,"RS","Brochier","4302659",1,"19.70832","2020-05-23","0",0,5074,""
9768,"RS","Butiá","4302709",2,"9.55064","2020-05-23","0",0,20941,""
9769,"RS","Caçapava do Sul","4302808",1,"2.97407","2020-05-23","0",0,33624,""
9770,"RS","Cachoeira do Sul","4303004",16,"19.46448","2020-05-23","0",0,82201,""
9771,"RS","Cachoeirinha","4303103",66,"50.65506","2020-05-23","0",0,130293,""
9772,"RS","Camaquã","4303509",9,"13.58265","2020-05-23","0",0,66261,""
9773,"RS","Camargo","4303558",3,"109.76948","2020-05-23","0",0,2733,""
9774,"RS","Campinas do Sul","4303806",3,"55.0055","2020-05-23","0",0,5454,""
9775,"RS","Campo Bom","4303905",4,"5.99592","2020-05-23","0",0,66712,""
9776,"RS","Campo Novo","4304002",1,"22.30152","2020-05-23","0",0,4484,""
9777,"RS","Candelária","4304200",5,"15.94134","2020-05-23","0",0,31365,""
9778,"RS","Candiota","4304358",1,"10.43406","2020-05-23","0",0,9584,""
